PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Arce, AN; Rodrigues, AR; Yu, JJ; Colgan, TJ; Wurm, Y; Gill, RJ				Arce, Andres N.; Rodrigues, Ana Ramos; Yu, Jiajun; Colgan, Thomas J.; Wurm, Yannick; Gill, Richard J.			Foraging bumblebees acquire a preference for neonicotinoid-treated food with prolonged exposure	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES												Social bees represent an important group of pollinating insects that can be exposed to potentially harmful pesticides when foraging on treated or contaminated flowering plants. To investigate if such exposure is detrimental to bees, many studies have exclusively fed individuals with pesticide-spiked food, informing us about the hazard but not necessarily the risk of exposure. While such studies are important to establish the physiological and behavioural effects on individuals, they do not consider the possibility that the risk of exposure may change over time. For example, many pesticide assays exclude potential behavioural adaptations to novel toxins, such as rejection of harmful compounds by choosing to feed on an uncontaminated food source, thus behaviourally lowering the risk of exposure. In this paper, we conducted an experiment over 10 days in which bumblebees could forage on an array of sucrose feeders containing 0, 2 and 11 parts per billion of the neonicotinoid pesticide thiamethoxam. This more closely mimics pesticide exposure in the wild by allowing foraging bees to (i) experience a field realistic range of pesticide concentrations across a chronic exposure period, (ii) have repeated interactions with the pesticide in their environment, and (iii) retain the social cues associated with foraging by using whole colonies. We found that the proportion of visits to pesticide-laced feeders increased over time, resulting in greater consumption of pesticide-laced sucrose relative to untreated sucrose. After changing the spatial position of each feeder, foragers continued to preferentially visit the pesticide-laced feeders which indicates that workers can detect thiamethoxam and alter their behaviour to continue feeding on it. The increasing preference for consuming the neonicotinoid-treated food therefore increases the risk of exposure for the colony during prolonged pesticide exposure. Our results highlight the need to incorporate attractiveness of pesticides to foraging bees (and potentially other insect pollinators) in addition to simply considering the proportion of pesticide-contaminated floral resources within the foraging landscape.				Wurm, Yannick/A-9525-2009; Arce, Andres/AAR-1978-2020	Wurm, Yannick/0000-0002-3140-2809; Gill, Richard/0000-0001-9389-1284; Colgan, Thomas/0000-0002-0547-8228; Arce, Andres/0000-0002-3577-2110												0962-8452	1471-2954				AUG 29	2018	285	1885							20180655	10.1098/rspb.2018.0655							WOS:000443163500004	30158303					
J	Kuchling, S; Kopacka, I; Kalcher-Sommersguter, E; Schwarz, M; Crailsheim, K; Brodschneider, R				Kuchling, Sabrina; Kopacka, Ian; Kalcher-Sommersguter, Elfriede; Schwarz, Michael; Crailsheim, Karl; Brodschneider, Robert			Investigating the role of landscape composition on honey bee colony winter mortality: A long-term analysis	SCIENTIFIC REPORTS												The health of honey bee colonies is, amongst others, affected by the amount, quality and diversity of available melliferous plants. Since landscape is highly diverse throughout Austria regarding the availability of nutritional resources, we used data from annual surveys on honey bee colony losses ranging over six years to analyse a possible relationship with land use. The data set comprises reports from a total of 6,655 beekeepers and 129,428 wintered honey bee colonies. Regions surrounding the beekeeping operations were assigned to one of six clusters according to their composition of land use categories by use of a hierarchical cluster analysis, allowing a rough distinction between urban regions, regions predominated by semi-natural areas and pastures, and mainly agricultural environments. We ran a Generalised Linear Mixed Model and found winter colony mortality significantly affected by operation size, year, and cluster membership, but also by the interaction of year and cluster membership. Honey bee colonies in regions composed predominantly of semi-natural areas, coniferous forests and pastures had the lowest loss probability in four out of six years, and loss probabilities within these regions were significantly lower in five out of six years compared to those within regions composed predominantly of artificial surfaces, broad-leaved and coniferous forest.																	2045-2322					AUG 16	2018	8								12263	10.1038/s41598-018-30891-y							WOS:000441775900027	30116056					
J	Lamsa, J; Kuusela, E; Tuomi, J; Juntunen, S; Watts, PC				Lamsa, Juho; Kuusela, Erno; Tuomi, Juha; Juntunen, Sini; Watts, Phillip C.			Low dose of neonicotinoid insecticide reduces foraging motivation of bumblebees	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES												Widespread use of neonicotinoid insecticides, such as imidacloprid, is often associated with diminishing populations of bees; this loss of pollinators presents a concern for food security and may cause unpredictable changes in ecological networks. However, little is known about the potential behavioural mechanisms behind the neonicotinoid-associated pollinator decline. We quantified the effects of low-dose (1 ppb) imidacloprid exposure on the foraging behaviour of bumblebees (Bombus terrestris). Individual bumblebees were released into a flight arena containing three patches of robotic flowers whose colour (yellow, orange, blue) indicated whether the flower delivered a reward (sugar solution). Exposure to imidacloprid had no significant effect on measures of bumblebee physical performance (such as flight speed) or learning (identifying rewarding flowers). However, pesticide-treated bumblebees had reduced foraging motivation compared with the control bumblebees, as they visited fewer robotic flowers, were slower to start foraging and did not visit all three flower colours as often. Neonicotinoid concentrations of 1 ppb, often reported in plant nectar near agricultural lands, can thus affect the foraging behaviour of bumblebees Even without a notable impact on flight performance and learning, a reduction in foraging motivation could explain the poor performance of colonies of bumblebees exposed to neonicotinoids.					Lamsa, Juho/0000-0003-0270-5787; Watts, Phillip/0000-0001-7755-187X												0962-8452	1471-2954				JUL 25	2018	285	1883							20180506	10.1098/rspb.2018.0506							WOS:000439907900005	30051863					
J	dos Santos, CF; Otesbelgue, A; Blochtein, B				dos Santos, Charles Fernando; Otesbelgue, Alex; Blochtein, Betina			The dilemma of agricultural pollination in Brazil: Beekeeping growth and insecticide use	PLOS ONE												Pollination by bees improves agricultural crop yields and improves the financial outlook of beekeepers because it increases honey production and hive rental revenues. However, in Brazil, with a few exceptions, these benefits have been neglected in recent years because beekeepers are more interested in honey production than in agricultural pollination. The excessive and indiscriminate use of insecticides on agricultural fields in Brazil appears to be one of the principal obstacles preventing partnership between farmers and beekeepers. The goal of this study was therefore to evaluate the most recent situation in Brazil in relation to the use of insecticides, agriculture and to honey production in comparison with other countries. Our results show that Brazil is the largest consumer of insecticides in the world and that consumption has increased by > 150% over 15 years. While countries with a high Human Development Index (i.e., a measure that can also be used to question national policy choices) are reducing their levels of insecticide use in agriculture, Brazil is going in the opposite direction. It is highly likely the increase seen in other countries is a result of alternative methods for pest control rather than a result of the amount of area under agricultural cultivation and their capability to shift their economies from agriculture to other sectors. The number of hives (23%) and the volume of honey production (72%) in Brazil have, however, increased over the same period, raising Brazil to the ninth highest honey producer in the world. Although the data on apiculture are promising, the growth in use of insecticides in Brazil is a cause for concern because they leave residuals on bee products, on crops, and in the environment. Civil society and government in Brazil should encourage reductions in insecticide use and better relations between agricultural farmers and beekeepers.				/B-9412-2014; Santos, Charles/AAD-2347-2020	/0000-0001-8452-1716; Santos, Charles/0000-0001-5181-2461; Otesbelgue, Alex/0000-0002-8832-1241												1932-6203					JUL 6	2018	13	7							e0200286	10.1371/journal.pone.0200286							WOS:000437809500091	29979763					
J	Main, AR; Webb, EB; Goyne, KW; Mengel, D				Main, Anson R.; Webb, Elisabeth B.; Goyne, Keith W.; Mengel, Doreen			Neonicotinoid insecticides negatively affect performance measures of non-target terrestrial arthropods: a meta-analysis	ECOLOGICAL APPLICATIONS												Neonicotinoid insecticides are currently the fastest-growing and most widely used insecticide class worldwide. Valued for their versatility in application, these insecticides may cause deleterious effects in a range of non-target (beneficial) arthropods. However, it remains unclear whether strong patterns exist in terms of their major effects, if broad measures of arthropod performance are negatively affected, or whether different functional groups are equally vulnerable. Here, we present a meta-analysis of 372 observations from 44 field and laboratory studies that describe neonicotinoid effects on 14 arthropod orders across five broad performance measures: abundance, behavior, condition, reproductive success, and survival. Across studies, neonicotinoids negatively affected all performance metrics evaluated; however, magnitude of the effects varied. Arthropod behavior and survival were the most negatively affected and abundance was the least negatively affected. Effects on arthropod functional groups were inconsistent. Pollinator condition, reproductive success, and survival were significantly lower in neonicotinoid treatments compared to untreated controls; whereas, neonicotinoid effects on detritivores were not significant. Although magnitude of arthropod response to neonicotinoids varied among performance measures and functional groups, we documented a consistent negative relationship between exposure to neonicotinoid insecticides in published studies and beneficial arthropod performance.				Main, Anson/AAP-5899-2020	Webb, Lisa/0000-0003-3851-6056												1051-0761	1939-5582				JUL	2018	28	5					1232	1244		10.1002/eap.1723							WOS:000436868600009	29603486					
J	Odemer, R; Nilles, L; Linder, N; Rosenkranz, P				Odemer, Richard; Nilles, Lisa; Linder, Nadine; Rosenkranz, Peter			Sublethal effects of clothianidin and Nosema spp. on the longevity and foraging activity of free flying honey bees	ECOTOXICOLOGY												Neonicotinoids alone or in combination with pathogens are considered to be involved in the worldwide weakening of honey bees. We here present a new approach for testing sublethal and/or synergistic effects in free flying colonies. In our experiment individually marked honey bees were kept in free flying mini-hives and chronically exposed to sublethal doses of the neonicotinoid clothianidin. Additional groups of bees were challenged with Nosema infections or with combinations of the pesticide and pathogens. Longevity and flight activity of the differentially treated bees were monitored for a period of 18 days. In contrast to previous laboratory studies, no effect of the neonicotinoid treatment on mortality or flight activity could be observed. Although the lifespan of Nosema infected bees were significantly reduced compared to non-infected bees a combination of pesticide and pathogen did not reveal any synergistic effect. Our results indicate that individual bees are less impaired by neonicotinoids if kept within the social environment of the colony. The effect of such a "social buffering" should be considered in future risk assessments.				Odemer, Richard/C-5363-2018	Odemer, Richard/0000-0003-2230-4294												0963-9292	1573-3017				JUL	2018	27	5					527	538		10.1007/s10646-018-1925-5							WOS:000435835700004	29556938					
J	Hernando, MD; Gamiz, V; Gil-Lebrero, S; Rodriguez, I; Garcia-Valcarcel, AI; Cutillas, V; Fernandez-Alba, AR; Flores, JM				Dolores Hernando, M.; Gamiz, Victoria; Gil-Lebrero, Sergio; Rodriguez, Inmaculada; Garcia-Valcarcel, Ana I.; Cutillas, V.; Fernandez-Alba, Amadeo R.; Flores, Jose M.			Viability of honeybee colonies exposed to sunflowers grown from seeds treated with the neonicotinoids thiamethoxam and clothianidin	CHEMOSPHERE												In this study, honeybee colonies were monitored in a field study conducted on sunflowers grown from seeds treated with the systemic neonicotinoids thiamethoxam or clothianidin. This field trial was carried out in different representative growing areas in Spain over a beekeeping season. The health and development of the colonies was assessed by measuring factors that have a significant influence on their strength and overwintering ability. The parameters assessed were: colony strength (adult bees), brood development, amount of pollen and honey stores and presence and status of the queen. The concentration of residues (clothianidin and thiamethoxam) in samples of beebread and in adult bees was at the level of ng.g(-1); in the ranges of 0.10-2.89 ng g(-1) and 0.05-0.12 ng g(-1); 0.10-0.37 ng g(-1) and 0.01-0.05 ng g(-1), respectively. Multivariate models were applied to evaluate the interaction among factors. No significant differences were found between the honeybee colonies of the different treatment groups, either exposed or not to the neonicotinoids. The seasonal development of the colonies was affected by the environmental conditions which, together with the initial strength of the bee colonies and the characteristics of the plots, had a significant effect on the different variables studied. (C) 2018 Elsevier Ltd. All rights reserved.				Cutillas, VActor/ABE-7059-2020; Lebrero, Sergio Gil/X-8609-2019	Cutillas, VActor/0000-0003-1829-2796; Gil-Lebrero, Sergio/0000-0003-3426-8243; Hernando, Dolores/0000-0002-1963-8106												0045-6535	1879-1298				JUL	2018	202						609	617		10.1016/j.chemosphere.2018.03.115							WOS:000430882700069	29597178					
J	Kopit, AM; Pitts-Singer, TL				Kopit, Andi M.; Pitts-Singer, Theresa L.			Routes of Pesticide Exposure in Solitary, Cavity-Nesting Bees	ENVIRONMENTAL ENTOMOLOGY												Declines of pollinator health and their populations continue to be commercial and ecological concerns. Agricultural practices, such as the use of agrochemicals, are among factors attributed to honey bee (Apis mellifera L. (Hymenoptera: Apidae)) population losses and are also known to have negative effects on populations of managed non-Apis pollinators. Although pesticide registration routinely requires evaluation of impacts on honey bees, studies of this social species may not reveal important pesticide exposure routes where managed, solitary bees are commonly used. Studies of solitary bees offer additional bee models that are practical from the aspect of availability, known rearing protocols, and the ability to assess effects at the individual level without confounding factors associated with colony living. In addition to understanding bees, it is further important to understand how pesticide characteristics determine their environmental whereabouts and persistence. Considering our research expertise in advancing the management of solitary bees for crop pollination, this forum focuses on routes of pesticide exposure experienced by cavity-nesting bees, incorporating the relative importance of environmental contamination due to pesticide chemical behaviors. Exposure routes described are larval ingestion, adult ingestion, contact, and transovarial transmission. Published research reports of effects of several pesticides on solitary bees are reviewed to exemplify each exposure route. We highlight how certain pesticide risks are particularly important under circumstances related to the cavity nesters.																	0046-225X	1938-2936				JUN	2018	47	3					499	510		10.1093/ee/nvy034							WOS:000434922800001						
J	Booton, RD; Yamaguchi, R; Marshall, JAR; Childs, DZ; Iwasa, Y				Booton, Ross D.; Yamaguchi, Ryo; Marshall, James A. R.; Childs, Dylan Z.; Iwasa, Yoh			Interactions between immunotoxicants and parasite stress: Implications for host health	JOURNAL OF THEORETICAL BIOLOGY												Many organisms face a wide variety of biotic and abiotic stressors which reduce individual survival, interacting to further reduce fitness. Here we studied the effects of two such interacting stressors: immunotoxicant exposure and parasite infection. We model the dynamics of a within-host infection and the associated immune response of an individual. We consider both the indirect sub-lethal effects on immunosuppression and the direct effects on health and mortality of individuals exposed to toxicants. We demonstrate that sub-lethal exposure to toxicants can promote infection through the suppression of the immune system. This happens through the depletion of the immune response which causes rapid proliferation in parasite load. We predict that the within-host parasite density is maximised by an intermediate toxicant exposure, rather than continuing to increase with toxicant exposure. In addition, high toxicant exposure can alter cellular regulation and cause the breakdown of normal healthy tissue, from which we infer higher mortality risk of the host. We classify this breakdown into three phases of increasing toxicant stress, and demonstrate the range of conditions under which toxicant exposure causes failure at the within-host level. These phases are determined by the relationship between the immunity status, overall cellular health and the level of toxicant exposure. We discuss the implications of our model in the context of individual bee health. Our model provides an assessment of how pesticide stress and infection interact to cause the breakdown of the within-host dynamics of individual bees. (C) 2018 Elsevier Ltd. All rights reserved.				Yamaguchi, Ryo/O-7909-2018; Iwasa, Yoh/G-5368-2010; Childs, Dylan/P-7388-2018	Iwasa, Yoh/0000-0003-0691-1852; Booton, Ross/0000-0002-3013-4179; Childs, Dylan/0000-0002-0675-4933												0022-5193	1095-8541				MAY 14	2018	445						120	127		10.1016/j.jtbi.2018.02.018							WOS:000429506500011	29474856					
J	Feyereisen, R				Feyereisen, Rene			Toxicology: Bee P450s Take the Sting out of Cyanoamidine Neonicotinoids	CURRENT BIOLOGY												The neonicotinoid insecticides have raised concerns regarding the health of bee pollinators. New research has identified a P450 enzyme that protects honey bees and bumble bees from the toxicity of two neonicotinoids, thiacloprid and acetamiprid. This P450 enzyme provides a margin of safety to bees.				Feyereisen, Rene/Y-7514-2019; Feyereisen, Rene/I-3140-2012	Feyereisen, Rene/0000-0002-9560-571X; Feyereisen, Rene/0000-0002-9560-571X												0960-9822	1879-0445				MAY 7	2018	28	9					R560	R562		10.1016/j.cub.2018.03.013							WOS:000432442300013	29738731					
J	Lundin, O; Myrbeck, A; Bommarco, R				Lundin, Ola; Myrbeck, Asa; Bommarco, Riccardo			The effects of reduced tillage and earlier seeding on flea beetle (Phyllotreta spp.) crop damage in spring oilseed rape (Brassica napus L.)	CROP PROTECTION												The restriction on seed treatments containing neonicotinoid insecticides in the European Union has brought crop protection into focus for oilseed rape (Brassica napus L.). In spring sown oilseed rape, neonicotinoid seed treatments have mainly been used for protection against flea beetles (Phyllotreta spp.), and there is now a need to evaluate alternative control methods. We investigated the effect of reduced tillage and altered seeding date on flea beetle crop damage in spring oilseed rape in eight field experiments over three years in south central Sweden. The average proportion of cotyledon area damaged by flea beetles was not affected by the tillage treatment. Proportion of crop damage was, however, lower in early seeded compared to late seeded plots (0.21 compared to 0.28). We conclude that earlier seeding holds promise to be incorporated into an integrated pest management program for flea beetles in spring oilseed rape, whereas further research on reduced or zero tillage strategies for flea beetle control is warranted.				Lundin, Ola/X-7392-2019; Bommarco, Riccardo/E-7109-2016	Lundin, Ola/0000-0002-5948-0761; Bommarco, Riccardo/0000-0001-8888-0476												0261-2194	1873-6904				MAY	2018	107						104	107		10.1016/j.cropro.2017.10.019							WOS:000427209000014						
J	Evans, AN; Llanos, JEM; Kunin, WE; Evison, SEF				Evans, Alexander N.; Llanos, Joseph E. M.; Kunin, William E.; Evison, Sophie E. F.			Indirect effects of agricultural pesticide use on parasite prevalence in wild pollinators	AGRICULTURE ECOSYSTEMS & ENVIRONMENT												Insect pollinators appear to be experiencing worldwide declines, a phenomenon that has been correlated both with exposure to chemical pesticides and disease prevalence. These factors have been found to have strong and often interacting negative effects on multiple pollinator species in laboratory based studies, however their interactions in the field are less clear. To try and understand the link between pesticide use on pollinator communities, and how this might impact on disease transmission, we took two complementary approaches. First, we undertook a series of pollinator surveys to assess the abundance and diversity of pollinator groups across British agricultural field sites subject to varying levels of pesticide use. We then screened the offspring of two taxa of tube nesting solitary bees (Osmiabicomis and Megachile spp.) for three parasite groups commonly associated with pollinators. We found lower pollinator abundance, group richness and diversity across agricultural sites associated with higher pesticide use. Specifically, there were fewer honey bees, hoverflies, solitary bees and wasps. Surprisingly, we found a lower prevalence of all three parasite groups in O. bicomis offspring reared in sites associated with higher pesticide use compared to lower pesticide use. We also found a lower prevalence of Ascosphaera but a higher prevalence of Microsporidia in Megachile offspring reared in sites associated with higher pesticide use compared to lower pesticide use. Together, our results suggest that agricultural sites associated with higher pesticide use may be affecting pollinators indirectly by disrupting community structure and influencing disease epidemiology and vectoring opportunities. This highlights the importance of understanding the interactions between pesticide use and disease in both managed and wild bee populations for the future mitigation of pollinator declines.				Evison, Sophie/Y-3993-2019; Evans, Alexander/A-8938-2018	Evans, Alexander/0000-0002-5655-012X; Llanos, Joseph/0000-0003-0349-052X												0167-8809	1873-2305				APR 15	2018	258						40	48		10.1016/j.agee.2018.02.002							WOS:000429394600005						
J	Basley, K; Goulson, D				Basley, Kate; Goulson, Dave			Effects of Field-Relevant Concentrations of Clothianidin on Larval Development of the Butterfly Polyommatus icarus (Lepidoptera, Lycaenidae)	ENVIRONMENTAL SCIENCE & TECHNOLOGY												Arable field margins are often sown with wildflowers to encourage pollinators and other beneficial or desirable insects such as bees and butterflies. Concern has been raised that these margins may be contaminated with systemic pesticides such as neonicotinoids used on the adjacent crop, and that this may negatively impact beneficial insects. The use of neonicotinoids has been linked to butterfly declines, and species such as the common blue butterfly (Polyommatus icarus) that feed upon legumes commonly sown in arable field margins, may be exposed to such toxins. Here, we demonstrate that the larval food plants of P. icarus growing in an arable field margin adjacent to a wheat crop treated with the neonicotinoid clothianidin not only contain the pesticide at concentrations comparable to and sometimes higher than those found in foliage of treated crops (range 0.2-48 ppb) but also remain detectable at these levels for up to 21 months after sowing of the crop. Overall, our study demonstrates that nontarget herbivorous organisms in arable field margins are likely to be chronically exposed to neonicotinoids. Under laboratory conditions, exposure to clothianidin at 15 ppb (a field-realistic dose) or above reduced larval growth for the first 9 days of the experiment. Although there was evidence of clothianidin inducing mortality in larvae, with highest survival in control groups, the dose response relationship was unclear. Our study suggests that larvae of this butterfly exhibit some deleterious sublethal and sometimes lethal impacts of exposure to clothianidin, but many larvae survive to adulthood even when exposed to high doses.				Goulson, David/A-2462-2010	Goulson, David/0000-0003-4421-2876												0013-936X	1520-5851				APR 3	2018	52	7					3990	3996		10.1021/acs.est.8b00609							WOS:000429385700018	29553241					
J	Ruddle, N; Elston, C; Klein, O; Hamberger, A; Thompson, H				Ruddle, Natalie; Elston, Charlotte; Klein, Olaf; Hamberger, Anja; Thompson, Helen			Effects of Exposure to Winter Oilseed Rape Grown from Thiamethoxam-Treated Seed on the Red Mason Bee &ITOsmia bicornis&IT	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY												There has been increasing interest in the effects of neonicotinoid insecticides on wild bees. In solitary bee species the direct link between each individual female and reproductive success offers the opportunity to evaluate effects on individuals. The present study investigated effects of exposure to winter oilseed rape grown from thiamethoxam-treated seed on reproductive behavior and output of solitary red mason bees (Osmia bicornis) released in 6 pairs of fields over a 2-yr period and confined to tunnels in a single year. After adjustment to the number of females released, there was significantly lower production of cells and cocoons/female in tunnels than in open field conditions. This difference may be because of the lack of alternative forage within the tunnels. Under open field conditions, palynology of the pollen provisions within the nests demonstrated a maximum average of 31% oilseed rape pollen at any site, with Quercus (oak) contributing up to 86% of the pollen. There were no significant effects from exposure to oilseed rape grown from thiamethoxam-treated seed from nest establishment through cell production to emergence under tunnel or field conditions. (C) 2017 SETAC				Thompson, Helen/H-7753-2013	Thompson, Helen/0000-0001-5137-5214												0730-7268	1552-8618				APR	2018	37	4					1071	1083		10.1002/etc.4034							WOS:000428793700013	29120069					
J	Drummond, FA; Ballman, ES; Eitzer, BD; Du Clos, B; Dill, J				Drummond, Francis A.; Ballman, Elissa S.; Eitzer, Brian D.; Du Clos, Brianne; Dill, James			Exposure of Honey Bee (Apis mellifera L.) Colonies to Pesticides in Pollen, A Statewide Assessment in Maine	ENVIRONMENTAL ENTOMOLOGY												In 2015, we conducted a statewide assessment of honey bee exposure to pesticides with assistance of volunteer beekeepers. Pollen trapping was conducted at 32 sites in the spring, summer, and early fall. Apiary locations ranged from unmanaged natural landscapes to managed agricultural or urban landscapes. Pollen samples at each site were aggregated over the collection dates and chemical residue analysis was conducted on each pollen sample for 190 pesticides and metabolites using HPLC/MS. Twenty-five different residues were detected for an average of 2.9 detections per site. Detections were dominated by fungicides, but risk, calculated as: ppb residue concentration/LD50, was mostly due to insecticides. Beekeeper perceived land-use in the vicinity of each apiary was associated with significant differences in the number of detections and residue concentrations, agricultural landscapes greater than nonagricultural. However, there was no significant difference in oral or contact risk quotients due to land-use type. The landscape composition surrounding apiaries, derived with GIS, determined pesticide exposure for honey bees when total detections, log pesticide residue concentration, and log contact risk quotients were used as measures. Partial least squares explained 43.9% of the variance in pesticide exposure due to landscape composition. The best predictors describing pesticide exposure were: area (ha) of blueberry, coniferous forest, and urban/developed land cover types. Maine is the most forested state in the United States (as determined by % land area forested, 93%) and a negative exponential decay was observed between land area in conifer forest and the number of pesticide detections per apiary.																	0046-225X	1938-2936				APR	2018	47	2					378	387		10.1093/ee/nvy023							WOS:000429267500017	29509899					
J	Traver, BE; Feazel-Orr, HK; Catalfamo, KM; Brewster, CC; Fell, RD				Traver, Brenna E.; Feazel-Orr, Haley K.; Catalfamo, Katelyn M.; Brewster, Carlyle C.; Fell, Richard D.			Seasonal Effects and the Impact of In-Hive Pesticide Treatments on Parasite, Pathogens, and Health of Honey Bees	JOURNAL OF ECONOMIC ENTOMOLOGY												Honey bee, Apis mellifera (L.; Hymenoptera: Apidae), populations are in decline and their losses pose a serious threat for crop pollination and food production. The specific causes of these losses are believed to be multifactorial. Pesticides, parasites and pathogens, and nutritional deficiencies have been implicated in the losses due to their ability to exert energetic stress on bees. While our understanding of the role of these factors in honey bee colony losses has improved, there is still a lack of knowledge of how they impact the immune system of the honey bee. In this study, honey bee colonies were exposed to Fumagilin-B, Apistan (tau-fluvalinate), and chlorothalonil at field realistic levels. No significant effects of the antibiotic and two pesticides were observed on the levels of varroa mite, Nosema ceranae (Fries; Microsporidia: Nosematidae), black queen cell virus, deformed wing virus, or immunity as measured by phenoloxidase and glucose oxidase activity. Any effects on the parasites, pathogens, and immunity we observed appear to be due mainly to seasonal changes within the honey bee colonies. The results suggest that Fumagilin-B, Apistan, and chlorothalonil do not significantly impact the health of honey bee colonies, based on the factors analyzed and the concentration of chemicals tested.																	0022-0493	1938-291X				APR	2018	111	2					517	527		10.1093/jee/toy026							WOS:000429319200003	29471479					
J	Moreira, DR; Gigliolli, AAS; Falco, JRP; Julio, AHF; Volnistem, EA; das Chagas, F; de Toledo, VDA; Ruvolo-Takasusuki, MCC				Moreira, Daiani Rodrigues; Sinopolis Gigliolli, Adriana Aparecida; Penteado Falco, Jose Ricardo; Ferreira Julio, Alison Henrique; Volnistem, Eduardo Azzolini; das Chagas, Francieli; Arnaut de Toledo, Vagner de Alencar; Colla Ruvolo-Takasusuki, Maria Claudia			Toxicity and effects of the neonicotinoid thiamethoxam on Scaptotrigona bipunctata lepeletier, 1836 (Hymenoptera: Apidae)	ENVIRONMENTAL TOXICOLOGY												The neonicotinoid thiamethoxam is widely used in different agricultural crops, and it has a spectrum of action against insects, affecting both pests and pollinators, such as bees. In this study, the effects of exposure to sublethal concentrations of thiamethoxam on stingless bees Scaptotrigona bipunctata were evaluated. Foragers bees were exposed to the insecticide and subjected to genetic biochemical, histochemical, and morphological analyses after 24, 48, and 72 h of ingestion. Analysis of isoenzyme esterases revealed significant alterations in the relative activity of EST-4, a type II cholinesterase. Evaluation of the S. bipunctata brain revealed changes in the state of chromatin condensation according to the exposure time and concentration of neonicotinoid compared with the control. Morphological changes were observed in the midgut of this species at all concentrations and exposure times, which may interfere with various physiological processes of these insects. We can conclude that, although thiamethoxam at the concentrations evaluated did not cause high mortality, it induced concentration-dependent changes in bees by activating enzymes related with the protection for xenobiotic, internal morphology and probably these changes may lead to alterations in the activity of bees.				De Alencar Arnaut de Toledo, Vagner/I-8195-2012; Falco, Jose Ricardo/P-4017-2019; Ruvolo-Takasusuki, Maria Claudia C/F-3627-2015; De Alencar Arnaut de Toledo, Vagner/P-3482-2019	De Alencar Arnaut de Toledo, Vagner/0000-0003-1814-9703; Ruvolo-Takasusuki, Maria Claudia C/0000-0002-2028-9281; De Alencar Arnaut de Toledo, Vagner/0000-0003-1814-9703; Julio, Alison Henrique/0000-0003-1684-4032; Moreira, Daiani/0000-0002-5279-6624												1520-4081	1522-7278				APR	2018	33	4					463	475		10.1002/tox.22533							WOS:000427246600008	29377569					
J	Hladik, ML; Main, AR; Goulson, D				Hladik, Michelle L.; Main, Anson R.; Goulson, Dave			Environmental Risks and Challenges Associated with Neonicotinoid Insecticides	ENVIRONMENTAL SCIENCE & TECHNOLOGY												Neonicotinoid use has increased rapidly in recent years, with a global shift toward insecticide applications as seed coatings rather than aerial spraying. While the use of seed coatings can lessen the amount of overspray and drift, the near universal and prophylactic use of neonicotinoid seed coatings on major agricultural crops has led to widespread detections in the environment (pollen, soil, water, honey). Pollinators and aquatic insects appear to be especially susceptible to the effects of neonicotinoids with current research suggesting that chronic sublethal effects are more prevalent than acute toxicity. Meanwhile, evidence of clear and consistent yield benefits from the use of neonicotinoids remains elusive for most crops. Future decisions on neonicotinoid use will benefit from weighing crop yield benefits versus environmental impacts to nontarget organisms and considering whether there are more environmentally benign alternatives.				Main, Anson/AAP-5899-2020; Goulson, David/A-2462-2010	Goulson, David/0000-0003-4421-2876; Hladik, Michelle/0000-0002-0891-2712												0013-936X	1520-5851				MAR 20	2018	52	6					3329	3335		10.1021/acs.est.7b06388							WOS:000428219900002	29481746					
